title,description,content,cleaned_content,predicted_category,predicted_category_name
Scottie Scheffler's arraignment for allegedly assaulting a Louisville police officer delayed until June - WDRB,"Attorney Steve Romines, who is representing Scheffler, said he had scheduling issues requiring the delay. Scheffler, because he is charged with a felony, is expected to have to attend the","LOUISVILLE, Ky. (WDRB) -- The court arraignment of world No. 1 golfer Scottie Scheffler on felony assault of a police officer and other charges has been postponed from Tuesday until June 3. 
Attorne… [+2399 chars]",louisville ky wdrb court arraignment world 1 golfer scottie scheffler felony assault police officer charges postponed tuesday june 3 attorne 2399 chars,16,talk.politics.guns
Public health alert issued after HIV-positive sex worker had over 200 clients - AOL,Authorities in Ohio have released a public health warning after learning that an HIV-positive sex worker had interactions with over 200 clients spanning...,"Authorities in Ohio have released a public health warning after learning that an HIV-positive sex worker had interactions with over 200 clients.
The Washington County Sheriffs Office charged Linda I… [+1481 chars]",authorities ohio released public health warning learning hiv positive sex worker interactions 200 clients washington county sheriffs office charged linda 1481 chars,18,talk.politics.misc
"Cannes: Kevin Costner Talks Passion Project ‘Horizon,’ ‘Yellowstone’ Standoff at Lively ‘Awards Chatter’ Podcast Taping - Hollywood Reporter","During a career-spanning chat with Scott Feinberg, the Oscar-winning filmmaker opened up about a life-changing encounter with Richard Burton, what really happened with 'Waterworld' and investing chunks of his ""pile"" in films he believes in.","Kevin Costner saddled up to the Campari Lounge at the Cannes Film Festival on Sunday for a 75-minute conversation about his life and career that was funny, revealing and even tear-jerking.
It was al… [+4552 chars]",kevin costner saddled campari lounge cannes film festival sunday 75 minute conversation life career funny revealing even tear jerking al 4552 chars,9,rec.sport.baseball
Red Lobster files for Chapter 11 bankruptcy protection - CBS News,Red Lobster's owner has said the pandemic and rising costs hurt the seafood chain's financial performance.,"Red Lobster is closing at least 48 of its restaurants 
Red Lobster is closing at least 48 of its restaurants00:17
Red Lobster, the nationwide restaurant chain known for its affordable seafood and c… [+3485 chars]",red lobster closing least 48 restaurants red lobster closing least 48 restaurants00 17 red lobster nationwide restaurant chain known affordable seafood c 3485 chars,8,rec.motorcycles
Katy Perry sings goodbye to ‘American Idol’ - CNN,Katy Perry said her goodbyes on “American Idol” after seven seasons.,"Katy Perry said her goodbyes on American Idol after seven seasons.
On Sunday nights live Idol season finale, a medley of Perrys hit songs were performed, including Teenage Dream, Dark Horse and Cali… [+759 chars]",katy perry said goodbyes american idol seven seasons sunday nights live idol season finale medley perrys hit songs performed including teenage dream dark horse cali 759 chars,9,rec.sport.baseball
Trump glitch? Biden and Trump spar over Trump pause during NRA speech - USA TODAY,,,,8,rec.motorcycles
ChatGPT's mobile app revenue saw biggest spike yet following GPT-4o launch - TechCrunch,The ChatGPT mobile app's net revenue first jumped 22% on the day of the GPT-4o launch and continued to grow in the following days.,"Consumer demand for the latest AI technology is heating up. The launch of OpenAI’s latest flagship model, GPT-4o, has now driven the company’s biggest-ever spike in revenue on mobile, despite the mod… [+2327 chars]",consumer demand latest ai technology heating launch openai latest flagship model gpt 4o driven company biggest ever spike revenue mobile despite mod 2327 chars,7,rec.autos
"Assessing Man City's four-peat, Liverpool's goodbye to Klopp, more: Marcotti recaps the weekend - ESPN","It might take some time to appreciate what Man City have done under Pep Guardiola, while Juventus fired Max Allegri and Liverpool said goodbye to Jurgen Klopp.","This weekend saw the English Premier League, German Bundesliga and French Ligue 1 seasons come to an end, with Manchester City, Bayer Leverkusen and Paris Saint-Germain all crowned champions. Only th… [+18573 chars]",weekend saw english premier league german bundesliga french ligue 1 seasons come end manchester city bayer leverkusen paris saint germain crowned champions th 18573 chars,10,rec.sport.hockey
Google CEO Sundar Pichai on AI-powered search and the future of the web - The Verge,"Google’s Sundar Pichai discusses the latest in AI, search, and what the web will like in the future.","The head of Google sat down with Decoder last week to talk about the biggest advancements in AI, the future of Google Search, and the fate of the web. 
May 20, 2024, 2:00 PM UTC
Today, Im talking t… [+39296 chars]",head google sat decoder last week talk biggest advancements ai future google search fate web may 20 2024 2 00 pm utc today im talking 39296 chars,17,talk.politics.mideast
Pope Francis corrects '60 Minutes' on Church not blessing same-sex unions: 'That is not the sacrament' - Fox News,"Pope Francis corrected ""60 Minutes"" in an interview airing Sunday as he explained the Church did not sanction the blessings of same-sex unions.","Pope Francis corrected his questioner about the Catholic Church's stance toward same-sex couples in a rare interview, explaining he allowed the blessings of individual people but not a same-sex union… [+3486 chars]",pope francis corrected questioner catholic church stance toward sex couples rare interview explaining allowed blessings individual people sex union 3486 chars,15,soc.religion.christian
